dataset_type	num_seeds	seed	config_L	config_m	task_name	model_variant	checkpoint_step	model_id	eval_type	context_size	control_type	sequence_id	target_config_L	target_config_m	source_seeds	appears_in_training	accuracy	num_correct	evaluation_timestamp	training_phase	shuffle_before_packing	seed_balanced_batching
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	0	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.216918	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	1	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.221441	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	2	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.225532	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	3	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.229558	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	4	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.233480	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	5	5	2	[200000]	False	1.0	1	2025-08-22 19:18:35.237424	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	6	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.241401	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	7	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.245424	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	8	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.249379	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	9	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.253317	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	10	5	2	[200000]	False	1.0	1	2025-08-22 19:18:35.257279	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	11	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.261169	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	12	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.265059	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	13	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.272949	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	14	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.277956	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	15	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.281896	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	16	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.285903	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	17	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.289821	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	18	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.293757	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	19	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.297734	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	20	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.301621	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	21	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.305541	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	22	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.309503	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	23	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.313438	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	24	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.317389	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	25	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.321613	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	26	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.325579	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	27	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.329552	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	28	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.333509	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	29	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.337443	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	30	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.341335	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	31	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.345270	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	32	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.349191	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	33	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.353164	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	34	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.357052	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	35	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.360988	late	False	True
uniform	10	42	4	2	clm	clm_noshuffle_seedbalanced	565	clm_noshuffle_seedbalanced_step565_764445	ood_transfer	1	normal	36	5	2	[200000]	False	0.0	0	2025-08-22 19:18:35.364888	late	False	True
